"year","sex","age","deaths"
2002,"female",65,425.183531053733
2002,"female",70,405.127704117237
2002,"female",75,468.303558967202
2002,"female",80,545.518492672715
2002,"female",85,975.715980460572
2003,"female",0,106.255533640149
2003,"female",1,53.1277668200745
2003,"female",5,24.0578566732413
2003,"female",10,22.0530352838045
2003,"female",15,46.1108919570458
2003,"female",20,39.0940170940171
2003,"female",25,58.1398202936664
2003,"female",30,75.180802103879
2003,"female",35,85.2049090510629
2003,"female",40,109.262765724304
2003,"female",45,156.376068376068
2003,"female",50,190.458031996494
2003,"female",55,247.595441595442
2003,"female",60,341.82204689897
2003,"female",65,398.959456497918
2003,"female",70,473.137847907079
2003,"female",75,524.260793337716
2003,"female",80,606.458470304624
2003,"female",85,1016.44444444444
2004,"female",0,130.456440640772
2004,"female",1,41.1439543559359
2004,"female",5,22.0772438007461
2004,"female",10,25.0877770463024
2004,"female",15,49.1720430107527
2004,"female",20,56.1966205837174
2004,"female",25,79.2773754663156
2004,"female",30,52.182576256309
2004,"female",35,98.3440860215054
2004,"female",40,116.407285494843
2004,"female",45,129.45292955892
2004,"female",50,197.691683124863
2004,"female",55,243.853192890059
2004,"female",60,316.10599078341
2004,"female",65,393.376344086022
2004,"female",70,474.660741716041
2004,"female",75,543.903006363836
2004,"female",80,593.075049374589
2004,"female",85,1010.53565942506
2005,"female",0,174.366084578161
2005,"female",1,56.1178203240059
2005,"female",5,20.042078687145
2005,"female",10,29.0610140963602
2005,"female",15,61.1283399957921
2005,"female",20,66.1388596675784
2005,"female",25,56.1178203240059
2005,"female",30,67.1409636019356
2005,"female",35,76.1598990111509
2005,"female",40,105.220913107511
2005,"female",45,140.294550810015
2005,"female",50,179.376604249947
2005,"female",55,273.574374079529
2005,"female",60,346.727961287608
2005,"female",65,414.871028823901
2005,"female",70,528.10877340627
2005,"female",75,580.218177992847
2005,"female",80,592.243425205134
2005,"female",85,996.091310751105
2006,"female",0,177.401608910891
2006,"female",1,43.0975660066007
2006,"female",5,18.0408415841584
2006,"female",10,35.0794141914191
2006,"female",15,48.1089108910891
2006,"female",20,56.1270627062706
2006,"female",25,67.1520214521452
2006,"female",30,61.1384075907591
2006,"female",35,84.1905940594059
2006,"female",40,100.226897689769
2006,"female",45,167.378919141914
2006,"female",50,204.462871287129
2006,"female",55,273.619430693069
2006,"female",60,307.696575907591
2006,"female",65,446.009694719472
2006,"female",70,514.163985148515
2006,"female",75,572.295585808581
2006,"female",80,607.375
2006,"female",85,1075.43461221122
2007,"female",0,185.241830065359
2007,"female",1,51.0666666666667
2007,"female",5,31.040522875817
2007,"female",10,27.0352941176471
2007,"female",15,34.0444444444444
2007,"female",20,62.081045751634
2007,"female",25,57.0745098039216
2007,"female",30,77.1006535947712
2007,"female",35,84.1098039215686
2007,"female",40,102.133333333333
2007,"female",45,137.17908496732
2007,"female",50,206.269281045752
2007,"female",55,225.294117647059
2007,"female",60,315.411764705882
2007,"female",65,430.562091503268
2007,"female",70,514.671895424837
2007,"female",75,525.686274509804
2007,"female",80,566.739869281046
2007,"female",85,963.257516339869
2008,"female",0,164.280478866357
2008,"female",1,47.0803811385292
2008,"female",5,21.0359149767896
2008,"female",10,34.0581480576594
2008,"female",15,46.0786709015392
